species,all_about_birds,article-classified,birdbase,birds_of_the_world,hand_entered,partners_in_flight,peterjohn_2006,shrub; forest,traitdata,vgbi,vickery_1999,analysis_class,include
eastern_yellow_wagtail,Tundra,NA,forest; grasslands; artificial; wetlands_lakes_marsh,NA,NA,Tundra:  Arctic; Open Country:  Habitat Mosaic,NA,NA,NA,NA,NA,facultative,TRUE
edge_species,NA,facultative,NA,NA,NA,NA,NA,NA,NA,NA,NA,facultative,TRUE
elegant_quail,NA,NA,forest; shrub,NA,NA,Forests:  Tropical Dry; Aridlands:  Desert Scrub,NA,NA,NA,NA,facultative grassland,facultative,TRUE
elf_owl,Deserts,NA,woodland; plains; desert; riparian,NA,NA,Aridlands:  Desert Scrub; Forests:  Tropical Dry,NA,NA,NA,NA,NA,facultative,TRUE
emperor_goose,NA,NA,coastal; wetlands_lakes_marsh,NA,NA,Coasts:  Saltmarsh; Coasts:  Marine Waters; Coasts:  Rocky Intertidal,NA,NA,NA,NA,facultative grassland,facultative,TRUE
eskimo_curlew,NA,NA,shrub; grasslands; coastal,NA,NA,Tundra:  Arctic; Grasslands:  Pampas and Campos,NA,NA,NA,NA,grassland obligate,obligate,TRUE
eurasian_collared_dove,Towns,NA,shrub; savannah; plains; desert; artificial,NA,NA,Open Country:  Developed/Disturbed,NA,NA,NA,NA,NA,facultative,TRUE
eurasian_skylark,NA,NA,grasslands; plains; artificial; coastal; wetlands_lakes_marsh,NA,NA,Open Country:  Developed/Disturbed,NA,NA,grassland; mountain_meadow,NA,NA,facultative,TRUE
eurasian_tree_sparrow,Towns,NA,woodland; plains; artificial,NA,NA,Open Country:  Developed/Disturbed,NA,NA,NA,NA,NA,facultative,TRUE
facultative_grassland_species,NA,facultative,NA,NA,NA,NA,NA,NA,NA,NA,NA,facultative,TRUE
farmland_bird_indicator_species,NA,obligate,NA,NA,NA,NA,NA,NA,NA,NA,NA,obligate,TRUE
farmland_specialists,NA,obligate,NA,NA,NA,NA,NA,NA,NA,NA,NA,obligate,TRUE
ferruginous_hawk,Grasslands,NA,savannah; grasslands; rocky_areas; artificial,NA,NA,Grasslands:  Temperate; Open Country:  Habitat Mosaic; Grasslands:  Chihuahuan,NA,NA,NA,NA,grassland obligate,obligate,TRUE
field_sparrow,Scrub,NA,woodland; shrub; grasslands; artificial,NA,NA,Open Country:  Habitat Mosaic; Forests:  Temperate Eastern,shrubland,NA,NA,facultative grassland,NA,facultative,TRUE
fish_crow,Shorelines,NA,woodland; rocky_areas; artificial; riparian; coastal; wetlands_lakes_marsh,NA,NA,Open Country:  Habitat Mosaic; Wetlands:  Generalist,NA,NA,NA,NA,NA,facultative,TRUE
fork_tailed_flycatcher,NA,NA,woodland; shrub; savannah; grasslands; coastal,NA,NA,Grasslands:  Tropical,NA,NA,NA,NA,facultative grassland,facultative,TRUE
fox_sparrow,Forests,NA,NA,NA,NA,Forests:  Boreal; Forests:  Temperate Western; Forests:  Temperate Eastern; Aridlands:  Chaparral,NA,NA,NA,facultative grassland,NA,facultative,TRUE
franklins_gull,Lakes and Ponds,NA,grasslands; artificial; coastal; wetlands_lakes_marsh,NA,NA,Wetlands:  Freshwater Marsh; Coasts:  Beach and Estuary; Coasts:  Marine Waters,NA,NA,NA,NA,facultative grassland,facultative,TRUE
gadwall,Marshes,NA,grasslands; artificial; riparian; coastal; wetlands_lakes_marsh,NA,NA,Wetlands:  Seasonally Wet Grasslands; Wetlands:  Freshwater Marsh; Wetlands:  Generalist,NA,NA,NA,NA,facultative grassland,facultative,TRUE
giant_cowbird,NA,NA,shrub; artificial,NA,NA,Open Country:  Habitat Mosaic,NA,NA,NA,NA,NA,facultative,TRUE
gila_woodpecker,Deserts,NA,forest; plains; desert; artificial; riparian,NA,NA,Aridlands:  Desert Scrub; Aridlands:  Desert Riparian,NA,NA,NA,NA,NA,facultative,TRUE
golden_crowned_sparrow,Scrub,NA,forest; woodland; shrub; grasslands; artificial; riparian; wetlands_lakes_marsh,NA,NA,Tundra:  Alpine; Forests:  Temperate Western; Open Country:  Habitat Mosaic,NA,NA,NA,NA,NA,facultative,TRUE
golden_eagle,Grasslands,NA,woodland; shrub; grasslands; plains; desert; wetlands_lakes_marsh,NA,NA,Open Country:  Habitat Mosaic,NA,NA,NA,NA,NA,facultative,TRUE
golden_fronted_woodpecker,Open Woodlands,NA,forest; woodland; shrub; plains; artificial; riparian,NA,NA,Forests:  Tropical Dry,NA,NA,NA,NA,NA,facultative,TRUE
golden_winged_warbler,Open Woodlands,NA,forest; woodland; shrub; grasslands; riparian,NA,NA,Forests:  Temperate Eastern; Forests:  Tropical Montane Evergreen,shrubland,NA,NA,NA,NA,facultative,TRUE
graces_warbler,Forests,NA,forest; savannah,NA,NA,Forests:  Mesoamerican Pine-Oak; Forests:  Mesoamerican Highland,NA,NA,NA,NA,NA,facultative,TRUE
grasshopper_sparrow,Grasslands,NA,shrub; savannah; grasslands,NA,NA,Grasslands:  Temperate; Grasslands:  Chihuahuan,NA,NA,NA,NA,grassland obligate,obligate,TRUE
grasshopper_sparrow_henslows_sparrow,NA,facultative,NA,NA,NA,NA,NA,NA,NA,NA,NA,facultative,TRUE
grassland_facultative_species,NA,facultative,NA,NA,NA,NA,NA,NA,NA,NA,NA,facultative,TRUE
grassland_obligates,NA,obligate,NA,NA,NA,NA,NA,NA,NA,NA,NA,obligate,TRUE
grassland_specialists,NA,obligate,NA,NA,NA,NA,NA,NA,NA,NA,NA,obligate,TRUE
grassland_species,NA,facultative,NA,NA,NA,NA,NA,NA,NA,NA,NA,facultative,TRUE
