species,habitat
rough_legged_hawk,Tundra:  Arctic; Open Country:  Habitat Mosaic
ferruginous_hawk,Grasslands:  Temperate; Open Country:  Habitat Mosaic; Grasslands:  Chihuahuan
barn_owl,Open Country:  Habitat Mosaic; Open Country:  Developed/Disturbed
flammulated_owl,Forests:  Temperate Western; Forests:  Mesoamerican Pine-Oak
whiskered_screech_owl,Forests:  Mesoamerican Pine-Oak
eastern_screech_owl,Forests:  Temperate Eastern
balsas_screech_owl,Forests:  Tropical Dry
middle_american_screech_owl,Forests:  Tropical Lowland Evergreen
choco_screech_owl,Forests:  Tropical Lowland Evergreen
crested_owl,Forests:  Tropical Lowland Evergreen
spectacled_owl,Forests:  Tropical Lowland Evergreen
great_horned_owl,Open Country:  Habitat Mosaic
snowy_owl,Tundra:  Arctic; Open Country:  Habitat Mosaic
northern_hawk_owl,Forests:  Boreal
northern_pygmy_owl,Forests:  Temperate Western; Forests:  Mesoamerican Pine-Oak
costa_rican_pygmy_owl,Forests:  Tropical Montane Evergreen
central_american_pygmy_owl,Forests:  Tropical Lowland Evergreen
tamaulipas_pygmy_owl,Forests:  Tropical Montane Evergreen
colima_pygmy_owl,Forests:  Tropical Dry
ferruginous_pygmy_owl,Forests:  Tropical Dry; Forests:  Tropical Lowland Evergreen
elf_owl,Aridlands:  Desert Scrub; Forests:  Tropical Dry
burrowing_owl,Grasslands:  Temperate; Aridlands:  Desert Scrub
spotted_owl,Forests:  Temperate Western; Forests:  Mesoamerican Highland
barred_owl,Forests:  Temperate Eastern; Forests:  Temperate Western
cinereous_owl,Forests:  Mesoamerican Pine-Oak
fulvous_owl,Forests:  Tropical Montane Evergreen
mottled_owl,Forests:  Tropical Generalist
black_and_white_owl,Forests:  Tropical Lowland Evergreen
great_gray_owl,Forests:  Boreal
long_eared_owl,Forests:  Temperate Generalist
stygian_owl,Forests:  Tropical Generalist
short_eared_owl,Tundra:  Arctic; Grasslands:  Temperate; Coasts:  Saltmarsh
striped_owl,Grasslands:  Tropical
